slug,number,business_name,platform,status,page_title,url,final_url,load_time,tested_at
MjIxMw==,2213,Alma Pitogo,Hydreight,ACTIVE,Alma Pitogo,https://booking.hydreight.com/b/MjIxMw==,https://booking.hydreight.com/widget-business/yk82f,5.826791286468506,2025-06-29T23:14:05.613813
MjIxNA==,2214,Stiff Health and Wellness Care,Hydreight,ACTIVE,Stiff Health and Wellness Care,https://booking.hydreight.com/b/MjIxNA==,https://booking.hydreight.com/widget-business/hu81m,5.284838914871216,2025-06-29T23:14:17.589711
MjIxNQ==,2215,Zen Wellness,Hydreight,ACTIVE,Zen Wellness,https://booking.hydreight.com/b/MjIxNQ==,https://booking.hydreight.com/b/MjIxNQ==,6.294835090637207,2025-06-29T23:14:31.146463
MjIxNg==,2216,Radiant Glow IV&Injection Therapy,Hydreight,ACTIVE,Radiant Glow IV&Injection Therapy,https://booking.hydreight.com/b/MjIxNg==,https://booking.hydreight.com/b/MjIxNg==,6.25688099861145,2025-06-29T23:14:44.661132
MjIxNw==,2217,Woodforest Wellness & Hydration,Hydreight,ACTIVE,Woodforest Wellness & Hydration,https://booking.hydreight.com/b/MjIxNw==,https://booking.hydreight.com/widget-business/hy17f,6.394235134124756,2025-06-29T23:14:58.323191
MjIxOA==,2218,Best Mobile Rejuvenation,Hydreight,ACTIVE,Best Mobile Rejuvenation,https://booking.hydreight.com/b/MjIxOA==,https://booking.hydreight.com/widget-business/xe18t,6.2480409145355225,2025-06-29T23:15:11.853854
MjIxOQ==,2219,Universal Healthcare of Minnesota,Hydreight,ACTIVE,Universal Healthcare of Minnesota,https://booking.hydreight.com/b/MjIxOQ==,https://booking.hydreight.com/widget-business/lg48u,6.260385990142822,2025-06-29T23:15:25.413029
MjIyMA==,2220,Vital Drip,Hydreight,ACTIVE,Vital Drip,https://booking.hydreight.com/b/MjIyMA==,https://booking.hydreight.com/widget-business/nk10v,8.158452987670898,2025-06-29T23:15:40.835031
MjIyMQ==,2221,Barbara Rothman,Hydreight,ACTIVE,Barbara Rothman,https://booking.hydreight.com/b/MjIyMQ==,https://booking.hydreight.com/widget-business/cs30x,6.443981647491455,2025-06-29T23:15:54.534720
MjIyMg==,2222,Remedy Ink & Wellness,Hydreight,ACTIVE,Remedy Ink & Wellness,https://booking.hydreight.com/b/MjIyMg==,https://booking.hydreight.com/widget-business/ak06h,6.21632194519043,2025-06-29T23:16:07.996555
