slug,decoded_slug,primary_business_name,primary_platform,enterprise_active,hydreight_active,both_active,enterprise_business_name,hydreight_business_name,enterprise_status,hydreight_status,enterprise_page_title,hydreight_page_title,enterprise_url,hydreight_url,tested_at
MzY3,367,Drip Protocol - mobile IV therapy,Hydreight,False,True,False,,Drip Protocol - mobile IV therapy,ERROR_PAGE,ACTIVE,undefined,Drip Protocol - mobile IV therapy,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY3,https://booking.hydreight.com/b/MzY3,2025-06-28T21:55:08.632279
MzY4,368,Precision Telemed,Enterprise,True,True,True,Precision Telemed,IV Infusion Solutions,ACTIVE,ACTIVE,Precision Telemed,IV Infusion Solutions,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/MzY4,https://booking.hydreight.com/b/MzY4,2025-06-28T21:55:21.991648
Mzcw,370,Akshay Health Center,Enterprise,True,False,False,Akshay Health Center,,ACTIVE,ERROR_PAGE,Akshay Health Center,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/Mzcw,https://booking.hydreight.com/b/Mzcw,2025-06-28T21:55:48.195274
Mzgx,381,Wellspring Concierge Nurses,Hydreight,False,True,False,,Wellspring Concierge Nurses,ERROR_PAGE,ACTIVE,undefined,Wellspring Concierge Nurses,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/Mzgx,https://booking.hydreight.com/b/Mzgx,2025-06-28T21:58:13.565389
Mzgz,383,Twin Peaks Wellness,Hydreight,False,True,False,,Twin Peaks Wellness,ERROR_PAGE,ACTIVE,undefined,Twin Peaks Wellness,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/Mzgz,https://booking.hydreight.com/b/Mzgz,2025-06-28T21:58:37.655674
Mzk1,395,Posh Partners,Hydreight,False,True,False,,Posh Partners,ERROR_PAGE,ACTIVE,undefined,Posh Partners,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/Mzk1,https://booking.hydreight.com/b/Mzk1,2025-06-28T22:01:19.983637
Mzk2,396,XiaoQing Yuan,Hydreight,False,True,False,,XiaoQing Yuan,ERROR_PAGE,ACTIVE,undefined,XiaoQing Yuan,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/Mzk2,https://booking.hydreight.com/b/Mzk2,2025-06-28T22:01:33.078679
NDA1,405,Trina Rakay,Hydreight,False,True,False,,Trina Rakay,ERROR_PAGE,ACTIVE,undefined,Trina Rakay,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDA1,https://booking.hydreight.com/b/NDA1,2025-06-28T22:03:27.501861
NDIw,420,VSDH ONE Wellness,Enterprise,True,False,False,VSDH ONE Wellness,,ACTIVE,ERROR_PAGE,VSDH ONE Wellness,undefined,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDIw,https://booking.hydreight.com/b/NDIw,2025-06-28T22:06:45.155376
NDIx,421,Simply Renewed,Hydreight,False,True,False,,Simply Renewed,ERROR_PAGE,ACTIVE,undefined,Simply Renewed,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NDIx,https://booking.hydreight.com/b/NDIx,2025-06-28T22:06:58.332292
