slug,url,final_url,status,classification,business_name,business_indicators,error_indicators,indicators_found,error_indicators_found,page_title,content_length,load_time,content_preview,tested_at,error_details
NTAw,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTAw,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,2.8222298622131348,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:18:29.054869,
NTAx,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTAx,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,3.0109219551086426,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:18:31.983920,
NTAy,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTAy,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,2.4105899333953857,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:18:35.101239,
NTAz,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTAz,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,3.4643280506134033,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:18:37.617689,
NTA0,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTA0,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,2.620716094970703,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:18:41.185425,
NTA1,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTA1,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,2.813767910003662,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:18:43.911911,
NTA2,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTA2,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,2.680386781692505,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:18:46.830280,
NTA3,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTA3,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,4.136425018310547,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:18:49.614733,
NTA4,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTA4,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,2.653651237487793,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:18:53.852036,
NTA5,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTA5,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,3.070215940475464,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:18:56.609347,
NTEw,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTEw,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,2.841003179550171,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:18:59.782717,
NTEx,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTEx,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,2.4805710315704346,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:19:02.726599,
NTEy,https://vsdigital-bookingwidget-prod.azurewebsites.net/b/NTEy,https://vsdigital-bookingwidget-prod.azurewebsites.net/widget,ERROR_PAGE,EMPTY_TITLE_INVALID_URL,,1,2,['select'],"['error', ""the link you've opened isn't working as expected""]",,31630,2.8080360889434814,"<html lang=""en"" style=""--default-icon-primary: #2b515c;""><head><meta charset=""utf-8""><title></title><link rel=""preconnect"" href=""https://fonts.googleapis.com""><link rel=""preconnect"" href=""https://font",2025-06-22T13:19:05.310627,
